study_key,pmid,doi,year,title,study_design,design_detail,appraisal_instrument,appraisal_basis,n_readers,n_subjects,reader_subset_verified,rob_patient_selection,rob_patient_selection_evidence,rob_patient_selection_rationale,rob_index_test,rob_index_test_evidence,rob_index_test_rationale,rob_reference_standard,rob_reference_standard_evidence,rob_reference_standard_rationale,rob_flow_timing,rob_flow_timing_evidence,rob_flow_timing_rationale,app_patient_selection,app_patient_selection_evidence,app_patient_selection_rationale,app_index_test,app_index_test_evidence,app_index_test_rationale,app_reference_standard,app_reference_standard_evidence,app_reference_standard_rationale,repro_code_available,repro_code_evidence,repro_public_dataset,repro_dataset_evidence,repro_benchmark,repro_reference_standard,repro_sampling,repro_centres,repro_sampling_evidence,repro_ethics_stated,rater_status,reviewer_1,reviewer_2,reviewer_3,consensus_note
S227,,10.1002/mrm.27894,2019,MRI Gibbs-ringing artifact reduction by means of machine learning using convolutional neural networks,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,yes,"earch Grant Council (RGC C7048‐16G). Data was provided in part by the Human Connectome Project, WU‐Minn Consortium (Principal Investigators: David Van Essen",HCP,Fully sampled reference,not stated,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S228,,10.1109/lsp.2019.2961072,2019,Restoration of Lossy JPEG-Compressed Brain MR Images Using Cross-Domain Neural,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,yes,additional details about the models are publicly available at https://github.com/rmsouza01/JPEG-reconstruction. ## _C. Performance Metrics and Stati,yes,"## III. EXPERIMENTAL METHODOLOGY ## _A. Dataset_ Images from the _Calgary-Campinas-359_ ( _CC-359_ ) dataset [11], a collection of open, multi-vendor, m",Calgary-Campinas,Fully sampled reference,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S229,,10.1109/tmi.2019.2896085,2019,Robust Single-Shot T2 Mapping via Multiple Overlapping-Echo Acquisition and DN,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,not stated,,,Not stated,not stated,multi-centre,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S230,,10.1016/j.mri.2020.05.002,2020,Motion artifacts reduction in brain MRI by means of a deep residual network DRN-DCMB,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,not stated,,,Not stated,both stated,single-centre,"d to prevent, mitigate or correct for motion artifacts. In brain MRI, prospective solutions include immobilization with cushions and head holders to re",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S231,,10.1109/tmi.2020.2987026,2020,Synthesize High-Quality Multi-Contrast MRI From Multi-Echo Using Multi-Task De,Diagnostic accuracy / reader study,"post-lock update (recovered full text, screened 2026-08)",QUADAS-2,full text,4,,yes - full-text evidence of human readers,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,yes,"ncoder-decoder structure with multiple residual blocks [24], > 1The code is available on: https://github.com/guanhuaw/DeepMAGiC. which has proven its eff",not stated,,,Conventional reconstruction comparator,both stated,multi-centre,[4]. Different parameter maps and parameter-weighted contrasts can be retrospectively synthesized. Traditional contrast synthesis algorithms use a pixel-wi,yes,pending - post-lock update awaiting three-reviewer QUADAS-2 appraisal,,,,"n_readers evidence: ion For qualitative comparison, a multi-reader study was conducted. 4 radiologists (E.T., D.M., J.C., M.W.) provided independent readings blinded to the"
S232,,10.1002/mrm.28526,2021,Accelerating T2 mapping of the brain by integrating deep learning priors with low-rank and sparse modeling,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,yes,data. The image priors for a single TE were generated from the public Human Connectome Project data using a tissue-based deep learning method; the image pri,HCP,Fully sampled reference,retrospective,not stated,"900 ms, TR = 1900 ms). The (k, TE)-space data from the TSE scan were retrospectively undersampled as shown in Figure 1. The fully sampled k-space data of",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S233,,10.1007/978-3-030-87234-2/46,2021,Accurate Parameter Estimation in Fetal Diffusion-Weighted MRI,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,yes,t squares (WLLS) method [22]. The newborn scan is from the developing Human Connectome Project (dHCP) dataset [3]. Newborn subjects can be imaged with minim,HCP;dHCP,Not stated,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S234,,10.1109/embc46164.2021.9630596,2021,Evaluation of EPI Distortion Correction using Synb0-DisCo and Reversed Phase,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,yes,code used in this paper can be found in the following github: https://github.com/Garmanta/LarynxCong **4026** Authorized licensed use limited to:,not stated,,,Not stated,not stated,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S235,,10.1109/embc46164.2021.9630435,2021,Learning to Generate Missing Pulse Sequence in MRI using DCNN with Visual Turing Test,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,yes,"_et al._ , “The multimodal brain tumor image segmentation benchmark (brats),” _IEEE Trans. Med. Imaging_ , vol. 34, no. 10, pp. 1993–2024, 2014.",BraTS,Not stated,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S236,,10.1007/s00234-022-03053-1,2022,Deep learning reconstruction in pediatric brain MRI comparison of image quality,Diagnostic accuracy / reader study,"post-lock update (recovered full text, screened 2026-08)",QUADAS-2,full text,2,,yes - full-text evidence of human readers,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,not stated,,not stated,,,Not stated,retrospective,not stated,aterials and methods** Our Institutional Review Board approved this retrospective study and waived the requirement for informed consent. tumor ( _n_,yes,pending - post-lock update awaiting three-reviewer QUADAS-2 appraisal,,,,n_readers evidence: unn’s pairwise comparisons. The interobserver agreement between the two radiologists was evaluated using the weighted Cohen kappa ( _κ_ ) test. A _κ_ valu
S237,,10.1002/mrm.29314,2022,Improved signal-to-noise performance of MultiNet GRAPPA 1H FID MRSI reconstruction with semi-synthetic calibration data,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,not stated,,,Fully sampled reference,retrospective,not stated,"red in two slices in the human brain ( _n_ = 6) at 7T. MRSI data were retrospectively undersampled for a 4×, 6×, and 7× acceleration rate. Signal-to-noise,",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S238,,10.1016/j.jmr.2022.107301,2022,Jointly estimating bias field and reconstructing uniform MRI image by deep learning,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,yes,"n this section, the correction performance of BFCNet was evaluated on Human Connectome Project (HCP) brain images. The BFCNet was compared with three bias f",HCP,Not stated,both stated,not stated,ons [9–23] to this problem have been proposed and can be divided into prospective and retrospective methods. Prospective methods correct the bias field,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S239,,10.1117/12.2622233,2022,Self-supervised learning in medical imaging - anomaly detection in MRI using autoencoders,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,not stated,,,Not stated,prospective,not stated,erican College of Radiology (ACR) Innovation Award “AI-PROBE: A Novel Prospective Randomized Clinical Trial Approach for Investigating the Clinical Use,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S240,,10.1007/s00234-023-03212-y,2023,Feasibility study of super-resolution deep learning-based reconstruction,Diagnostic accuracy / reader study,"post-lock update (recovered full text, screened 2026-08)",QUADAS-2,full text,2,,yes - full-text evidence of human readers,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,not stated,,not stated,,,Not stated,retrospective,multi-centre,ages (DWI) in brain magnetic resonance imaging (MRI). **Methods** A retrospective analysis was performed on 34 patients who had undergone DWI using a 3,yes,pending - post-lock update awaiting three-reviewer QUADAS-2 appraisal,,,,"n_readers evidence: , and the full width at half maximum (FWHM) of the septum pellucidum. Two radiologists assessed image noise, contrast, artifacts, blur, and the overall qual"
S241,,10.1007/s10334-023-01142-7,2023,Improved reconstruction for highly accelerated propeller diffusion 1.5T clinical MRI,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,not stated,,,Fully sampled reference,both stated,not stated,"tion was not included. However, if motion parameters are given either retrospectively [12, 14, 15] or prospectively [55], motion correction can be simply i",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S242,,10.1109/tim.2024.3481545,2024,Image Reconstruction With B0 Inhomogeneity Using a Deep Unrolled Network,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,not stated,,,Fully sampled reference,both stated,not stated,"ven the knowledge of B0 field inhomogeneity, image distortions can be retrospectively corrected by post-processing interpolation algorithms [18]. However,",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S243,,10.1109/tmi.2024.3523949,2024,MRI Motion Correction Through Disentangled CycleGAN Based on Multi-Mask K-Space Subsampling,Diagnostic accuracy / reader study,"post-lock update (recovered full text, screened 2026-08)",QUADAS-2,full text,2,,yes - full-text evidence of human readers,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,yes,-free data. The source code and example data are available on https://github.com/baoqingjia/DCGAN-MS. ## IV. EXPERIMENTAL RESULTS ## _A. Clinical,yes,"linical gadoxetic acid-enhanced human liver MRI, human brain MRI from fastMRI, and preclinical rodent brain MRI. Quantitative improvements are demo",fastMRI,Fully sampled reference,both stated,multi-centre,"gjia Bao , and Chaoyang Liu **_Abstract_ — This work proposes a new retrospective motion correction method, termed DCGAN-MS, which employs disentangled",yes,pending - post-lock update awaiting three-reviewer QUADAS-2 appraisal,,,,"n_readers evidence: ize 320 × 320, TE = 1.29 ms, TR = 4.5 ms, and slice thickness = 3 mm. Two radiologists assessed the grades of motion artifacts. For subjective evaluation, t"
S244,,10.1109/iccit62134.2024.10701250,2024,Performance Evaluation of Medical Image Denoising using Convolutional Autoencoders,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,not stated,,,Not stated,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
