file,pmid,doi,decision,confidence,reason_label,primary_reason,picos_population,picos_intervention,picos_comparator,picos_outcome,picos_study_design,evidence_spans
"2015 - Quantification of liver, pancreas, kidney, and vertebral body MRI-PDFF in non-alcoholic fatty liver disease. - PMID 25715922.md",25715922,10.1007/s00261-015-0385-0,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,"Quantification of liver, pancreas, kidney, and vertebral body MRI-PDFF in non-al"
2015 - Quantification of perfusion in murine myocardium A retrospectively triggered T1 -based ASL method using model-based reco - PMID 25446550.md,25446550,10.1002/mrm.25526,exclude,0.8,wrong_population,Study is animal-only (or ex vivo/animal brain model) with no direct human-brain relevance to reconstruction safety evaluation.,"Animal model (mouse/rat/piglet) or ex vivo tissue, not human brain.",Classical (non-AI) imaging/reconstruction or contrast-agent technique.,Not applicable.,Imaging/technical outcome in an animal model.,Preclinical/animal imaging study.,Quantification of perfusion in murine myocardium: A retrospectively triggered T1
2015 - Quantification of structural cerebral abnormalities on MRI 18 months after aneurysmal subarachnoid hemorrhage in patient - PMID 25479962.md,25479962,10.1007/s00234-014-1472-6,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Quantification of structural cerebral abnormalities on MRI 18 months after aneur
2015 - Quantifying brain tissue volume in multiple sclerosis with automated lesion segmentation and filling. - PMID 26740917.md,26740917,10.1016/j.nicl.2015.10.012,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Quantifying brain tissue volume in multiple sclerosis with automated lesion segm
2015 - Quantifying temperature-dependent T1 changes in cortical bone using ultrashort echo-time MRI. - PMID 26390357.md,26390357,10.1002/mrm.25994,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Quantifying temperature-dependent T1 changes in cortical bone using ultrashort e
2015 - Quantitative Evaluation of Segmentation- and Atlas-Based Attenuation Correction for PET MR on Pediatric Patients. - PMID 25952739.md,25952739,10.2967/jnumed.114.149476,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Quantitative Evaluation of Segmentation- and Atlas-Based Attenuation Correction 
2015 - Quantitative Functional Arterial Spin Labeling (fASL) MRI--Sensitivity and Reproducibility of Regional CBF Changes Using - PMID 26172381.md,26172381,10.1371/journal.pone.0132929,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Quantitative Functional Arterial Spin Labeling (fASL) MRI--Sensitivity and Repro
2015 - Quantitative Imaging in Radiation Oncology An Emerging Science and Clinical Service. - PMID 26384277.md,26384277,10.1016/j.semradonc.2015.05.002,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Quantitative Imaging in Radiation Oncology: An Emerging Science and Clinical Ser
2015 - Quantitative MRI morphology of invasive breast cancer correlation with immunohistochemical biomarkers and subtypes. - PMID 24558165.md,24558165,10.1177/0284185114524197,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Quantitative MRI morphology of invasive breast cancer: correlation with immunohi
"2015 - Quantitative R2 MRI of the liver with rician noise models for evaluation of hepatic iron overload Simulation, phantom, a - PMID 25996989.md",25996989,10.1002/jmri.24948,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Quantitative R2* MRI of the liver with rician noise models for evaluation of hep
2015 - Quantitative Sonographic Texture Analysis in Preterm Neonates With White Matter Injury Correlation of Texture Features W - PMID 26384612.md,26384612,10.7863/ultra.15.01031,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Quantitative Sonographic Texture Analysis in Preterm Neonates With White Matter 
2015 - Quantitative Susceptibility Mapping at 3 T and 1.5 T Evaluation of Consistency and Reproducibility. - PMID 25900085.md,25900085,10.1097/rli.0000000000000159,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Quantitative Susceptibility Mapping at 3 T and 1.5 T: Evaluation of Consistency 
2015 - Quantitative T2 magnetic resonance imaging for renal iron overload assessment normal values by age and sex. - PMID 25761947.md,25761947,10.1007/s00261-015-0395-y,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Quantitative T2* magnetic resonance imaging for renal iron overload assessment: 
2015 - Quantitative and qualitative MR-imaging assessment of vastus medialis muscle volume loss in asymptomatic patients after - PMID 25446958.md,25446958,10.1002/jmri.24777,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Quantitative and qualitative MR-imaging assessment of vastus medialis muscle vol
